Date,Opponent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone
3/11/23,UMass-Lowell River Hawks,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
3/4/23,Boston College Eagles,0,0,0,2,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
3/3/23,Boston College Eagles,0,0,0,1,1,1,0,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/23,New Hampshire Wildcats,0,0,0,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0
2/23/23,Alaska Anchorage Seawolves,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0
2/11/23,New Hampshire Wildcats,0,0,0,2,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2/10/23,New Hampshire Wildcats,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2/3/23,Northeastern Huskies,0,0,0,4,5,1,1,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/23,Quinnipiac Bobcats,0,0,0,1,2,0,0,0,0,2,2,1,0,2,0,0,0,0,1,1,0,2,3,0,0,0,0
1/27/23,Yale Bulldogs,0,0,0,2,2,2,0,1,0,2,6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
