Date,Opponent,Team_Total_UConn_Score,Team_Total_Opponent_Score,Home,Win,Team_Score_On_PP,Team_PP_Faceoffs_won_in_OZ_percent,Team_PP_Faceoffs_won_percent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone,Team_PP_OZ_possession_percent,Team_PP_NZ_possession_percent,Team_PP_DZ_possession_percent
2023-03-11,UMass-Lowell River Hawks,1.0,2.0,1,0,0,66.7,50.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,49.17,4.17,13.33
2023-03-04,Boston College Eagles,6.0,5.0,1,1,1,50.0,37.5,0,0,0,2,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,35.28,10.88,18.3
2023-03-03,Boston College Eagles,3.0,5.0,0,0,1,50.0,75.0,0,0,0,1,1,1,0,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.15,11.0,18.18
2023-02-25,New Hampshire Wildcats,6.0,1.0,1,1,0,100.0,100.0,0,0,0,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,75.0,2.5,10.0
2023-02-23,Alaska Anchorage Seawolves,4.0,3.0,1,1,1,75.0,75.0,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,72.97,5.41,7.57
2023-02-11,New Hampshire Wildcats,2.0,3.0,0,0,0,75.0,75.0,0,0,0,2,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,50.7,6.41,15.32
2023-02-10,New Hampshire Wildcats,1.0,4.0,0,0,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,65.83,5.83,8.33
2023-02-03,Northeastern Huskies,4.0,3.0,0,1,1,80.0,83.3,0,0,0,4,5,1,1,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,59.47,5.65,11.96
2023-01-28,Quinnipiac Bobcats,3.0,4.0,0,0,1,50.0,40.0,0,0,0,1,2,0,0,0,0,2,2,1,0,2,0,0,0,0,1,1,0,2,3,0,0,0,0,40.47,19.94,16.42
2023-01-27,Yale Bulldogs,6.0,1.0,1,1,1,66.7,66.7,0,0,0,2,2,2,0,1,0,2,6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.14,8.5,17.85
